Label,Latitude,Longitude,ID,Place Name,Place Type,Place Address
12,13.6369219,79.4144847,2fa7d485feca5a55f8f82115b88144eacb15c51f,Popular Medicals,pharmacy,"1, 7-1-1, Sarojini Devi Road, Nehru Nagar, Tirupati"
12,13.6379308,79.4107951,7444927316611afa755dd4e1c61b675f3f234678,Prakruti Aayurvedic Medicals 2,pharmacy,"Nehru Nagar, Tirupati"
16,13.6367224,79.428739,84460af5a1579bdccc0d64fda12e1cc8a5948b75,priya medicals & fancy,pharmacy,"20-2-678,MaruthiNagar, Korlagunta, Tirupati"
11,13.6388797,79.4241705,03f7ecd0b7f21297f3b0d9391598032700db2c4a,Royal Pharmacy,pharmacy,"Akkarampalle, Tirupati"
13,13.6533901,79.4641449,0b09826adf0642a866e822b53f180a2a182a73f0,S.S.Pharmacy,pharmacy,"Mangalam, Tirupati"
19,13.6227767,79.4183196,aa1b65efbcdea9a37ad02363c05b7df2a962242d,S.S.V. Medicals & Fancy,pharmacy,"19-8-84/G2, No. 19, Yadava Colony, Revenue Ward, Tirupati"
11,13.6390325,79.4239589,6200b78b155f9266d714b8c572f54ba8aca64e0d,Sachin Medical,pharmacy,"#18-1-762, Akkarampalli Road, Bhavani Nagar, Tirupati"
2,13.6346974,79.4179645,add918ed9b94fa257081eab5ae597dd4d6e8b26d,Sai Balaji Medical & Surgical Distributors,pharmacy,"7-1-17 R N Mada Street, Tirupati"
2,13.633804,79.4192966,cb68b8f0032239b8c52a28c8c2a824da4e5152ca,Sai Pharma,pharmacy,"10-5-254B-1, Dodda Puram Street, Tirupati"
6,13.6221847,79.4096202,57e2a82c32c1b3bb0899260fb6297a1b5fd9bf6e,Sai Prasanna Medicals,pharmacy,"8, MR Palli Road, Amaravathi Nagar, Padmavathi Nagar, Tirupati"
19,13.6237253,79.417813,97416d0852e5ee33e1ca822bbac06bdca0540f76,SANZO PHARMACY,pharmacy,"R.C. Road, Tirupati"
12,13.6387555,79.4184484,1a1e9bcae653e80a13f75a0ca3bf11a88157d41d,Sathya Shiridi Sai Pharmacy,pharmacy,"6-2-84/A2, K.T. Road, Circle, Bhavani Nagar, Tirupati"
12,13.6387422,79.4184699,a4e6973f7a7fcbf5c4e89bfd0d69d6dc24600c20,Satya Shirdi Sai Pharmacy,pharmacy,"Nehru Nagar, Tirupati"
19,13.6237044,79.4236599,203407a5aa0e1ff345e58b31e225246e132dc9b4,Shafi medical store,pharmacy,"517501, Dasarimatam, SBI Colony, Royal Nagar, Tirupati"
17,13.6487164,79.4311375,f6e1a8b77a742cd193650688c987cc53e34e834c,Siva Sai Medical & Fancy,pharmacy,"D.No: 2-8-222, Satyanarayanapu, Trupati"
19,13.6229517,79.4239358,691c92e92d394a71a410c6a1d50b65399c04b848,SR Medical Store,pharmacy,"Ashok Nagar, Tirupati"
12,13.636208,79.4148971,0c87e442e76a5aebd5bfad56b25d06a80c1e583f,Sree Bhagyalakshmi Medicals,pharmacy,"5-1-3A, Sarojinidevi Road, Tirupati"
8,13.6150864,79.4358502,ce90ba23ed7cb7d77a5bd7d590680d80a84fc14b,Sree Ganesh Medical & Fancy Store,drugstore,"1-34, Srinivasa Puram Beside HP Petrol Bunk, Tiruchanoor Road, Tirupati"
16,13.6353031,79.4300191,95bd3fb9cefcb60b73e1eb6e610251dfead99c6a,Sree Lakshimi Ganapati Medicals,pharmacy,"20-2-549, Maruti Nagar, Tirupati"
12,13.6389912,79.4177027,a92029a476cba38715da21cce733165bb07439ef,Sree Sandhya Pharmma,pharmacy,"D. No. 6-2-91/G5, Amrutha Plaza, Old M.H. Road, Tirupati"
12,13.638725,79.4107257,8c7a15a7b4fe40b6e67d4f91199a806fe14651eb,"Sreelatha NIMSS (medical&surgical,Ayurveda )",pharmacy,"opp. SVIMS entrance, Tirupati"
2,13.6313411,79.4196339,b9f15662319fa73d2d57a87b2f75c3b440ca611e,Sri Galaxy Pharmacy,pharmacy,"Bandla Street, Mallaiah Gunta Katta, Tata Nagar, Tirupati"
6,13.6203801,79.4097362,921fc6c8597453f9f5e0f5218f27d4f7e0f630b1,Sri Gayatri Poly Clinic,pharmacy,"Vasavi Nagar, M.R. Palli Road, Tirupati"
18,13.6178239,79.4336069,ee0cd41230d968a25cb1ff1df23f17ff6e7160a9,Sri Jagannadham Medical & Fancy,drugstore,"opp. Tara Sitara Hotel, 3-56/1, Srinivasapuram ,Tiruchanoor Road, opp. Tara Sitara Hotel, Tirupati"
6,13.6200592,79.4098911,40d0818127bb22c10261d60ffb23dcb9eee76037,Sri Lakshmi Venkateswara Pharmacy,pharmacy,"M R Palli Road, Padmavathi Nagar, Tirupati"
2,13.6338347,79.419522,c75a06e17f3aac4e8d9053ae918ac10484b63a62,Sri Rajeswari Medicals,pharmacy,"270/1, Dodda Puram Street, Reddy and Reddy's Colony, Tirupati"
18,13.6236526,79.4300992,cc55d57aad3073e5b8858d21ae0b111ce44e99db,Sri Sai Lakshmi Medicals & Fancy,pharmacy,"Tiruchanoor By Pass Road, Tirupati"
12,13.6392173,79.4167874,7d2f5bd941511aa1caeffe98f2dccf0e3acb1588,Sri Sai Padmavathi Medicals,pharmacy,"T. Nagar, Nehru Nagar, Tirupati"
12,13.6385106,79.4108919,16890420cbdb5e674aa324807f2521045febc029,Sri Sai Ram Medicals & Surgicals,pharmacy,"Shop No.11, Municipal Complex, Opp. SVIMS Main Gate, Tirupati"
16,13.6368645,79.4286417,735c49033cd02f4d4ff1e9db9348833b720e306f,Sri Sai Venkateswara Medicals & Fancy,pharmacy,"20-1-261/B, Maruthi Nagar, Korlagunta, Tirupati"
